date,bitcoin,ethereum,solana,ripple,cardano
2024-10-08 00:00:00,1231091696620.0955,291612805733.03143,67824969530.69777,29991350948.888397,12564701546.296803
2024-10-09 00:00:00,1229717180592.4397,294190554781.40424,67328950381.83993,30047537648.119553,12312847623.786222
2024-10-10 00:00:00,1197736450280.4102,285084590935.4484,65433504789.60537,29716396937.686356,12131196678.289976
2024-10-11 00:00:00,1189691671375.1472,286552629874.8065,65104986869.39701,29991523628.326267,12077698174.047966
2024-10-12 00:00:00,1233357176570.333,293162664953.97815,68238430125.58685,30490054705.50027,12540753800.073837
2024-10-13 00:00:00,1249002272717.2275,298282533565.2097,68817502222.73967,30564659258.72339,12611074103.193417
2024-10-14 00:00:00,1241241970951.0295,296977636559.92773,69243494227.1722,30100697508.467445,12419109021.91589
2024-10-15 00:00:00,1306085613997.8015,316451494816.54065,73962264985.11276,31002265585.27816,12983133494.08745
2024-10-16 00:00:00,1323774576161.621,313216116600.22363,72639268353.59418,30629081825.39223,12791403176.443624
2024-10-17 00:00:00,1337304399194.887,314435102932.4304,72422733078.47534,31018277725.845608,12594795004.129683
2024-10-18 00:00:00,1330387728623.8188,313194633306.5954,70573405283.51457,30820760554.066605,12254765327.146393
2024-10-19 00:00:00,1353541799303.4875,318245706033.605,72886877673.2116,31001905885.914104,12530428878.499825
2024-10-20 00:00:00,1351942347611.1997,318975355966.1185,74964939765.94617,30867246079.877224,12560622562.93806
2024-10-21 00:00:00,1362381684459.9053,330127637903.2564,78229210681.92538,30973256934.50095,13015846452.115461
2024-10-22 00:00:00,1332326858574.4448,320871813296.62164,78180519224.39232,30875972291.16193,12901296472.62284
2024-10-23 00:00:00,1331426858508.4004,315286963217.6233,78495515410.02502,30253863576.152824,13003514917.235018
2024-10-24 00:00:00,1318285437546.2786,303758669310.65466,80605199376.19403,29817145765.75719,12501496240.084642
2024-10-25 00:00:00,1347888109010.5889,305016120148.3843,83303181938.57568,30184555551.536434,12369397579.764545
2024-10-26 00:00:00,1313975091942.221,290598017399.4684,77285778632.20319,28440409038.961575,11546253244.993061
2024-10-27 00:00:00,1325192118637.2595,298518432454.89374,80185439054.50378,29112702064.221813,11904688906.03608
2024-10-28 00:00:00,1343350549900.1233,301656245036.7335,83135834565.19875,29334461123.41089,12135503702.908104
2024-10-29 00:00:00,1380874923096.4146,308760527470.31,83861396528.21255,29485957976.542343,12303351364.924597
2024-10-30 00:00:00,1439310420089.3665,317633905084.8851,84365189646.56198,29961006346.77696,12711428884.851593
2024-10-31 00:00:00,1431085552900.1965,320125387602.99,82365474416.0372,29701886227.67498,12693763136.654657
2024-11-01 00:00:00,1390195908292.9321,302903644448.69275,79289455541.87051,28963392418.661438,12215759175.79545
2024-11-02 00:00:00,1374687306836.925,302633410028.4328,78250082081.93033,29166533751.235336,12755324056.009933
2024-11-03 00:00:00,1370516856365.7996,299972542553.578,78131615349.70734,28985111559.766685,12424329802.817984
2024-11-04 00:00:00,1362302032218.0198,296080479788.81036,76639755911.6,28618008472.118652,11967648988.334745
2024-11-05 00:00:00,1340192510479.9568,288417039274.4664,74183140424.87337,28588507586.622833,11647024842.885141
2024-11-06 00:00:00,1370963795352.6948,291680535424.015,78482680246.56433,29164852946.820103,11924108418.176392
